Username,Repo_Name,Stars,Repo_url
crystal-lang,crystal,19200,https://github.com/crystal-lang/crystal
kemalcr,kemal,3600,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,3300,https://github.com/veelenga/awesome-crystal
luckyframework,lucky,2600,https://github.com/luckyframework/lucky
amberframework,amber,2600,https://github.com/amberframework/amber
getmango,Mango,1700,https://github.com/getmango/Mango
vitobotta,hetzner-k3s,1500,https://github.com/vitobotta/hetzner-k3s
ffwff,lilith,1100,https://github.com/ffwff/lilith
drujensen,fib,853,https://github.com/drujensen/fib
amethyst-framework,amethyst,647,https://github.com/amethyst-framework/amethyst
hanabi1224,Programming-Language-Benchmarks,611,https://github.com/hanabi1224/Programming-Language-Benchmarks
askn,crystal-by-example,548,https://github.com/askn/crystal-by-example
owasp-noir,noir,521,https://github.com/owasp-noir/noir
crystal-ameba,ameba,510,https://github.com/crystal-ameba/ameba
crystal-community,icr,502,https://github.com/crystal-community/icr
will,crystal-pg,460,https://github.com/will/crystal-pg
elbywan,crystalline,423,https://github.com/elbywan/crystalline
imdrasil,jennifer.cr,414,https://github.com/imdrasil/jennifer.cr
vim-crystal,vim-crystal,412,https://github.com/vim-crystal/vim-crystal
martenframework,marten,392,https://github.com/martenframework/marten
